topic,url,token_count,crawled,category
Nursultan Nazarbayev International Airport,https://en.wikipedia.org/wiki/Nursultan_Nazarbayev_International_Airport,10982,TRUE,Other
Rishi Sunak,https://en.wikipedia.org/wiki/Rishi_Sunak,18506,TRUE,Political Elections & Campaigns
2023–24 NFL playoffs,https://en.wikipedia.org/wiki/2023–24_NFL_playoffs,9475,TRUE,Sports Events & Competitions
2024 Summer Olympics,https://en.wikipedia.org/wiki/2024_Summer_Olympics,15253,TRUE,Sports Events & Competitions
Tropical Storm Trami,https://en.wikipedia.org/wiki/Tropical_Storm_Trami,14068,TRUE,Breaking News & Incidents
Oppenheimer (film),https://en.wikipedia.org/wiki/Oppenheimer_(film),22269,TRUE,"Movies, TV Shows & Entertainment"
Clash at the Castle: Scotland,https://en.wikipedia.org/wiki/Clash_at_the_Castle:_Scotland,4760,TRUE,Sports Events & Competitions
Prosper Morey,https://en.wikipedia.org/wiki/Prosper_Morey,3159,TRUE,Other
Michael Mosley,https://en.wikipedia.org/wiki/Michael_Mosley,5324,TRUE,Other
Shōwa nostalgia,https://en.wikipedia.org/wiki/Shōwa_nostalgia,4710,TRUE,Concepts & Knowledge
2024 Championship League (ranking),https://en.wikipedia.org/wiki/2024_Championship_League_(ranking),5131,TRUE,Sports Events & Competitions
Alcohol (drug),https://en.wikipedia.org/wiki/Alcohol_(drug),20782,TRUE,Concepts & Knowledge
Cady Noland,https://en.wikipedia.org/wiki/Cady_Noland,16479,TRUE,Other
Heraclitus,https://en.wikipedia.org/wiki/Heraclitus,16447,TRUE,Concepts & Knowledge
2024 in Philippine television,https://en.wikipedia.org/wiki/2024_in_Philippine_television,6193,TRUE,"Movies, TV Shows & Entertainment"
2023–24 Australian region cyclone season,https://en.wikipedia.org/wiki/2023–24_Australian_region_cyclone_season,13913,TRUE,Other
2025 SEA Games,https://en.wikipedia.org/wiki/2025_SEA_Games,8858,TRUE,Sports Events & Competitions
Firth of Clyde,https://en.wikipedia.org/wiki/Firth_of_Clyde,7245,TRUE,Other
Lombardy,https://en.wikipedia.org/wiki/Lombardy,28155,TRUE,Other
Assuwa,https://en.wikipedia.org/wiki/Assuwa,4988,TRUE,Concepts & Knowledge
Yoon Suk Yeol,https://en.wikipedia.org/wiki/Yoon_Suk_Yeol,19861,TRUE,Political Elections & Campaigns
Gerald Durrell,https://en.wikipedia.org/wiki/Gerald_Durrell,15788,TRUE,Concepts & Knowledge
Petre Pandrea,https://en.wikipedia.org/wiki/Petre_Pandrea,24668,TRUE,Other
Armand Duplantis,https://en.wikipedia.org/wiki/Armand_Duplantis,13352,TRUE,Sports Events & Competitions
2024 Stanley Cup playoffs,https://en.wikipedia.org/wiki/2024_Stanley_Cup_playoffs,9298,TRUE,Sports Events & Competitions
Ronald Turini,https://en.wikipedia.org/wiki/Ronald_Turini,9083,TRUE,Other
